arrival_airport_icao,departure_airport_icao,departure_airport_name,scheduled_arrival_time,flight_number,data_retrieved_at,airport_id
EGLL,FACT,Cape Town,2024-02-16 04:45:00,AA 7109,2024-02-15 13:58:49,18
EGLL,DNMM,Lagos,2024-02-16 04:50:00,AY 5904,2024-02-15 13:58:49,18
EGLL,FACT,Cape Town,2024-02-16 04:45:00,AY 5948,2024-02-15 13:58:49,18
EGLL,FACT,Cape Town,2024-02-16 04:45:00,BA 58,2024-02-15 13:58:49,18
EGLL,DNMM,Lagos,2024-02-16 04:50:00,BA 74,2024-02-15 13:58:49,18
EGLL,FACT,Cape Town,2024-02-16 04:45:00,IB 7320,2024-02-15 13:58:49,18
EGLL,FACT,Cape Town,2024-02-16 04:45:00,QR 6275,2024-02-15 13:58:49,18
EGLL,FAOR,Jo'anna,2024-02-16 04:55:00,VS 450,2024-02-15 13:58:49,18
EGLL,HKJK,Nairobi,2024-02-16 05:40:00,AA 6654,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:30:00,AA 6836,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:25:00,AA 6874,2024-02-15 13:58:49,18
EGLL,CYYZ,Toronto,2024-02-16 05:55:00,AA 6917,2024-02-15 13:58:49,18
EGLL,KBOS,Boston,2024-02-16 05:55:00,AA 6963,2024-02-15 13:58:49,18
EGLL,DGAA,Accra,2024-02-16 05:30:00,AA 7075,2024-02-15 13:58:49,18
EGLL,FAOR,Jo'anna,2024-02-16 05:00:00,AA 7107,2024-02-15 13:58:49,18
EGLL,KORD,Chicago,2024-02-16 05:55:00,AC 5358,2024-02-15 13:58:49,18
EGLL,KBOS,Boston,2024-02-16 05:55:00,AY 5412,2024-02-15 13:58:49,18
EGLL,CYYZ,Toronto,2024-02-16 05:55:00,AY 5992,2024-02-15 13:58:49,18
EGLL,KBOS,Boston,2024-02-16 05:55:00,B6 1620,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:30:00,BA 12,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:25:00,BA 16,2024-02-15 13:58:49,18
EGLL,KBOS,Boston,2024-02-16 05:55:00,BA 212,2024-02-15 13:58:49,18
EGLL,TBPB,Bridgetown,2024-02-16 05:50:00,BA 254,2024-02-15 13:58:49,18
EGLL,OERK,Riyadh,2024-02-16 05:15:00,BA 262,2024-02-15 13:58:49,18
EGLL,VHHH,Hong Kong,2024-02-16 05:50:00,BA 32,2024-02-15 13:58:49,18
EGLL,FAOR,Jo'anna,2024-02-16 05:00:00,BA 56,2024-02-15 13:58:49,18
EGLL,HKJK,Nairobi,2024-02-16 05:40:00,BA 64,2024-02-15 13:58:49,18
EGLL,DGAA,Accra,2024-02-16 05:30:00,BA 78,2024-02-15 13:58:49,18
EGLL,CYYZ,Toronto,2024-02-16 05:55:00,BA 92,2024-02-15 13:58:49,18
EGLL,VHHH,Hong Kong,2024-02-16 05:30:00,CX 251,2024-02-15 13:58:49,18
EGLL,CYYZ,Toronto,2024-02-16 05:55:00,EI 8792,2024-02-15 13:58:49,18
EGLL,KBOS,Boston,2024-02-16 05:55:00,EI 8912,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:55:00,FJ 5901,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:55:00,GA 8970,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:30:00,IB 7305,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:25:00,IB 7307,2024-02-15 13:58:49,18
EGLL,FAOR,Jo'anna,2024-02-16 05:00:00,IB 7318,2024-02-15 13:58:49,18
EGLL,HKJK,Nairobi,2024-02-16 05:40:00,IB 7322,2024-02-15 13:58:49,18
EGLL,CYYZ,Toronto,2024-02-16 05:55:00,IB 7336,2024-02-15 13:58:49,18
EGLL,KBOS,Boston,2024-02-16 05:55:00,IB 7400,2024-02-15 13:58:49,18
EGLL,OERK,Riyadh,2024-02-16 05:15:00,IB 7426,2024-02-15 13:58:49,18
EGLL,KORD,Chicago,2024-02-16 05:55:00,LH 9357,2024-02-15 13:58:49,18
EGLL,KORD,Chicago,2024-02-16 05:55:00,LX 3063,2024-02-15 13:58:49,18
EGLL,WMKK,Kuala Lumpur,2024-02-16 05:35:00,MH 2,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:55:00,MH 5762,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:55:00,NZ 3322,2024-02-15 13:58:49,18
EGLL,KORD,Chicago,2024-02-16 05:55:00,OS 7850,2024-02-15 13:58:49,18
EGLL,YPPH,Perth,2024-02-16 05:05:00,QF 9,2024-02-15 13:58:49,18
EGLL,CYYZ,Toronto,2024-02-16 05:55:00,QR 5882,2024-02-15 13:58:49,18
EGLL,FAOR,Jo'anna,2024-02-16 05:00:00,QR 5908,2024-02-15 13:58:49,18
EGLL,TBPB,Bridgetown,2024-02-16 05:50:00,QR 6244,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:55:00,SK 8042,2024-02-15 13:58:49,18
EGLL,KORD,Chicago,2024-02-16 05:55:00,SN 9090,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:55:00,SQ 322,2024-02-15 13:58:49,18
EGLL,WMKK,Kuala Lumpur,2024-02-16 05:35:00,SQ 5652,2024-02-15 13:58:49,18
EGLL,OEJN,Jeddah,2024-02-16 05:45:00,SV 113,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:55:00,TP 8404,2024-02-15 13:58:49,18
EGLL,KORD,Chicago,2024-02-16 05:55:00,UA 929,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:55:00,VA 5566,2024-02-15 13:58:49,18
EGLL,WSSS,Singapore,2024-02-16 05:55:00,VS 7969,2024-02-15 13:58:49,18
EGLL,KJFK,New York,2024-02-16 06:50:00,AA 100,2024-02-15 13:58:49,18
EGLL,KDFW,Dallas-Fort Worth,2024-02-16 06:20:00,AA 20,2024-02-15 13:58:49,18
EGLL,KPHL,Philadelphia,2024-02-16 06:30:00,AA 6911,2024-02-15 13:58:49,18
EGLL,KJFK,New York,2024-02-16 06:45:00,AA 6923,2024-02-15 13:58:49,18
